part,week,date,mon_activity,mon_video,tue_video,wed_activity,wed_video,lab,assignment,assignment_due,exam,exam_available,exam_practice
TBD,01,2026-01-05,,https://ubc.zoom.us/rec/share/uxRSfx5dAxyZrBiyC_M2CO4aji86EionjnSM5QM3GZS8vPeWl90CdnuE3GTtNuVd.722mnz-T5Y4Ss5M_?pwd=DE9Fb8xijtYL-z2y9QAAIAAAAM93EVCcLEIbFJDT9EKNOMgPtVXPwJdE8-i6hmPqycuhJNfCAPLvpitsymIufen90TAwMDAwNA,,,https://ubc.zoom.us/rec/share/s-5DawF9eNeq9YELRRzyYV535UpSKuu53TZCQoVBhvLOI-H9okKPioHUFu0kgDwk.aCjTOxS2E2NZc8O1?pwd=DAKi4-4B3ssua843DgAAIAAAAKFgPnvStB-jWk_XZlMSxLwvjr8uUYWuHEb67FaGR-Ow7KBaKMPqNiTF9wXm7-XMPDAwMDAwNA,,,,,,
TBD,02,2026-01-12,,https://ubc.zoom.us/rec/share/Yh25bYXLF71iS9hn_22RB7-3oPUhNnrGrFuLIxXDDd3tf0mDcqZZ09iA3K9OBGpH.YkqVdrrVpfXpxT0H?pwd=DJ8mu90FmzeO16nlrgAAIAAAAPhlUtRhIkpk79S-a4RogZ-LOvsy3s8DD3ASL5KAYUnDVD9OgcDqdNvcA28HOK_84jAwMDAwNA,https://ubc.zoom.us/rec/share/E70PLBUc7a1Xx_Jtrt-evDCDgAvF-fBRW65ogCZfpug_6kUOHBJ4NWvf_q_u03WE.Jnq4R6FGHdUo0H_9?pwd=DBXNoA74ATGZPNCT6QAAIAAAAKxEBJ3EDmRbLJI3Ucjm0tB5XMr0jk0YnzGgKUvtlPWwSAkqKwi6iaPhYjJTX0VwNjAwMDAwNA,,https://ubc.zoom.us/rec/share/oKt5ss62xCDa8ObhHQb1S7XO8BGUV8FOEJjIvaDlcsr05ZkS7fF2kSPCeKELIXJR.ZPm2EUtLBOz13uj0?pwd=DAxnOpa6d8JFq6H0vAAAIAAAAPnuRp23GvADzAHarINhbTMa62QiHwg0K6GR-CnGVrtJqy8EEDEWGT5-XLvXFa30_zAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633615,,,,,
TBD,03,2026-01-19,,https://ubc.zoom.us/rec/share/aO-8qc9F_Fxu7sjBheCsK0snrph_ZXqfUKPUYBEFF6nYBNTiPjuKQC8vgLn4IlFv.1spH1Xb-e38D4Uj1?pwd=DPsb2u5pDS0_XDjwEAAAIAAAAGI4T6CinexMYN9y4HanDOrlGUplVVa_AmyaGXCE9fiIznFclHnLSdNgAVJu78m4lTAwMDAwNA,https://ubc.zoom.us/rec/share/dTEOC75odunewgfVayvp8omSXOKM-adBITBC06qNyNZHisiAUyphf226WCBUonOs.OlKHWuZ_4Sx2VbSo?pwd=DNB0kL8IJHfo3XDmUQAAIAAAAPaF3zsZBbo9yPWhIZtz_VG9y6Hz3HuXDOxUbYMF--vtyJQm-r2s5sIzW4BBaDd5oTAwMDAwNA,,https://ubc.zoom.us/rec/share/NjdqbX2rKjkajw0xkdT9KN_YaiMxeQVNFRcPSUbINbJ6WasrFezZ2-4c9whdoGEs.mgZsBBgBJlHYoV-G?pwd=DPBvm75CtTmcASpS9wAAIAAAAJaJQKx9cfBwL-Pwlb_NQevyVn7aaZny7kEz_uHdUwkyiLgSQBODSQr_XbvH1g1oFDAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633722,[HW1](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633719),Sun,,,[PEX1](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633731)
TBD,04,2026-01-26,,https://ubc.zoom.us/rec/share/0ZP03bN6prfqTZb3HYXodP4uUyiDTLuEl9wMOu-UfwGETaZ17VyLPty0wTcmN1Ln.k9a8_jDTkhFIVNtN?pwd=DGOsZTTyjyRb_rXKKAAAIAAAALhUhHq4LfGFRQLKOtuPjj4CxvVKJwahkArLZvWNx1cFwvkC_-vtdR00qgwy7-eTPzAwMDAwNA,https://ubc.zoom.us/rec/share/aQ9_IJ5N9ByDfv8XNjFaBRR-4G_LDrEBGpe79s8oXuCeKMc1M47RIM8vjPocfyM.HnnU_Sp7dTCn1P62?pwd=DM7Ik4Uqvg5NtYtAqwAAIAAAAJgKi3upM8DArMHkgv4AldAf_j95yKeP83o1p2rfI1ab92zlxKUZQHWfZs9inuiWbjAwMDAwNA,,https://ubc.zoom.us/rec/share/Sb7is3yQE8XfShwbzl6JLHzrTceLum6fUTv_527XAR8B9ID5ALu6BKJcSSuPI8Ne.0ekf6yPBWKjTqigO?pwd=DPopNhzQTJDRBZvd4QAAIAAAAIWlGIfkzlD_Ca-AldNS91CXQ0HP8chJWrisVzfxTW9uPeMH3_ILA3nFgrVR7pzrhzAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633723,,,EX1,2026-01-29,
TBD,05,2026-02-02,,https://ubc.zoom.us/rec/share/vGj7SueZOrfOjy0zFU32PBhGo0i4IPDarcaFDEseOVfUqaivQifsfoRPJ90An9N7.RqONwuAncpzF4qN9?pwd=DFJjeprgbOm2YNofJwAAIAAAAHA6r4X_R_nJ2Pa53A_pVhQ2Yrkeb92H-wQbrVDKKKFOGsdu8Z2k7MohnHPucQFePDAwMDAwNA,https://ubc.zoom.us/rec/share/1MUsBMVj0hF39_fapfIgEySBlZ2VjaoWIezM77iSYLuGLVhoDD-701i08ZmRcaMT.ZAxu1BHVS3y_9rJr?pwd=DC1TJX9HpWFvpYyY6gAAIAAAAK8mCGuc4W_ytVDnROXZ94I09O10ZS8YmoMcIxKyYTVIlDhIpNPJE4AszdbymbuZJTAwMDAwNA,,https://ubc.zoom.us/rec/share/0OZbOFkh3n3VCiRez4i6aFuPFKJS_tewj6NIKp5HvYQShfFv_5F8X5aWGGb3RM0Q.KtmfkJVWpH1HijhD?pwd=DEXTRyflYhhvyz81vAAAIAAAAHaHWezBROoSdTeliu3JFRy_3yy0TUYVHqzXBQhMkTmZuDU93t4S4OFLUjcNm4ugJzAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633724,[PA1](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633737),Sun,,,[PEX2](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633732)
TBD,06,2026-02-09,,https://ubc.zoom.us/rec/share/wDAQE-CcwLEjp51HX1vZMexznNTGgmi5CPA-04r4fgsVMJsfg_yXKp5OPHQ_2t_H.6jRWHm3fiHe_o5nm?pwd=DKCV34TGjQFwOROttgAAIAAAAG9n23ySdwuGZgnNp9LAm-HgvwNGtf-P99mw1J5P6JA1RXtIdaVMT2qPnIitL9aEjDAwMDAwNA,https://ubc.zoom.us/rec/share/GrJbIcXzExoSJX-pjflLQavZP6tYV-sWaQpG-CPMQRVumOcmejFcIkhhTUdQnYJk.akDTwYpt840owCKs?pwd=DLBMhMljdyEH7QxHBwAAIAAAALMICqxWDVf8orvY9UMxbXZMcPLi4Iyyp5qQBkacRq1epqRfz5BBDB39PXC1mFKOKDAwMDAwNA,,https://ubc.zoom.us/rec/share/ZX8ICEOi4Lmb_jh0njsGyFGQlhuRVAiwNfOVqnXu9PFFDfh7JIqchE32HGhqZnHX.-v1TXQ5lYCXWJHPH?pwd=DAMxQeTl97BGZzPxzwAAIAAAAEHQJWXcIQH6sp7bdAqI4KU0OXT9afOUL1B2det_ep6YuVxkUcTjjaj2asSsGeoaqDAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633725,[HW2](https://us.prairielearn.com/pl/course_instance/205477/assessment/2645473),Sun,EX2,2026-02-12,
Reading,07,2026-02-16,,,,,,,,,,,
TBD,08,2026-02-23,,https://ubc.zoom.us/rec/share/WJaY0asIltbRZuy7lKRBg2Aobi20LHIPD06EBbj-C2zbkxr-L4_CstL7E_PNvMuS.axOo8SHI2_8xOFr3?pwd=DKXNyrWMCMsmT9PSPAAAIAAAACQ-wF2LQmeXo-t8WW7OAU56Dc6h00F09JzXS5Up7KtaQTZ9-n3aniytoa-uy5m8izAwMDAwNA,,,https://ubc.zoom.us/rec/share/C_qSJKq30VtBu0Sv3Ee2SN83ANfoUkoVAbrTEp9n1QRF6m9gaX0L4PAWOAtaFhqU.t9X7mcMELkSVYtwN?pwd=DDl4u9deAXHoacQTIgAAIAAAAGpZ7oWvrdc2zPZKWxd5lAmy4bhb9-DV6ucBskt0tJlqqCM8Uf_1H1stKA_6qzprZjAwMDAwNA,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633726,,,,,[PEX3](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633733)
TBD,09,2026-03-02,,,,,,https://us.prairielearn.com/pl/course_instance/205477/assessment/2633727,[PA2](https://us.prairielearn.com/pl/course_instance/205477/assessment/2633738),Sun,EX3,2026-03-05,
TBD,10,2026-03-09,,,,,,,,,,,PEX4
